Username,Timestamp,location,device
iqbaaldaanish,2020-07-11 09:24:58+00:00,"New Delhi, India",Android
PandurePrashant,2020-07-11 09:24:58+00:00,Sambhajinagar ,Android
SanjuChowdary99,2020-07-11 09:24:58+00:00,Tirupati,Android
TBeansprout,2020-07-11 09:24:58+00:00,Kingdom of GOD,iPhone
Asher_Wolf,2020-07-11 09:24:58+00:00,"Melbourne, Australia ",iPhone
epsilon3141,2020-07-11 09:24:58+00:00,,Mobile device
Bob21967176,2020-07-11 09:24:59+00:00,"South East, England",Android
Sheryl_SC,2020-07-11 09:24:59+00:00,South Africa,Android
AnantBhan,2020-07-11 09:24:59+00:00,"Bhopal, & Pune, India",Mobile device
GlobalPandemics,2020-07-11 09:24:59+00:00,WORLDWIDE,-
Stewarts_Travel,2020-07-11 09:25:00+00:00,"London, Leeds",-
UtsavPurohit4,2020-07-11 09:25:00+00:00,,Android
meker108,2020-07-11 09:24:57+00:00,,iPhone
gulyaban9,2020-07-11 09:25:01+00:00,Anatolia,Android
To_Lourenco,2020-07-11 09:24:58+00:00,Sous Dictature Macron 🤮,Mobile device
aj44brown,2020-07-11 09:25:01+00:00,"Clitheroe, England",-
RonVerkruisen,2020-07-11 09:25:02+00:00,Nederland,Android
SarayaWorldwide,2020-07-11 09:25:02+00:00,Japan,-
JeffWorthEU,2020-07-11 09:25:02+00:00,,iPhone
HealthwatchNY,2020-07-11 09:25:03+00:00,North Yorkshire,-
KRFOfficial,2020-07-11 09:25:03+00:00,"New Delhi, India",Mobile device
SionBen86,2020-07-11 09:25:03+00:00,,Android
RGemmell75,2020-07-11 09:25:04+00:00,The Bluetoon,iPhone
Pandemic_000,2020-07-11 09:25:04+00:00,Siberia,Android
ChrisBuxton15,2020-07-11 09:25:05+00:00,,Android
SpotShopMedia,2020-07-11 09:25:05+00:00,"Calgary, Alberta",iPhone
Steve_Ougo,2020-07-11 09:25:05+00:00,Proudly kenyan 🇰🇪,Android
tejateju694,2020-07-11 09:25:05+00:00,"Nellore, India",Android
NaattuVarthakal,2020-07-11 09:25:05+00:00,കേരളം,-
Unknowndesi1,2020-07-11 09:25:06+00:00,,Android
tari1231,2020-07-11 09:25:07+00:00,"Phoenix, AZ",Mobile device
CovidUpdatesEA,2020-07-11 09:25:07+00:00,,-
jennyMfisher,2020-07-11 09:25:07+00:00,"San Antonio, TX",iPhone
RD_Ingale,2020-07-11 09:25:07+00:00,"Pune, India",Android
vraidex,2020-07-11 09:25:08+00:00,"tilehurst, reading, uk",iPad
3993edcd965b437,2020-07-11 09:25:09+00:00,"Tamworth, England",Android
ZdenkoTrsinar,2020-07-11 09:25:10+00:00,,Android
VijayGowda2016,2020-07-11 09:25:10+00:00,,iPhone
MoriMelodei,2020-07-11 09:25:11+00:00,,Mobile device
BetterInsides,2020-07-11 09:25:12+00:00, London,Mobile device
DeclanKearneySF,2020-07-11 09:25:12+00:00,,iPhone
rjstrikers,2020-07-11 09:25:12+00:00,"corrupt, criminal australia",Mobile device
mangoman2014,2020-07-11 09:25:12+00:00,- Earth,Android
palak0_0,2020-07-11 09:25:13+00:00,India,Mobile device
tufailaap,2020-07-11 09:25:14+00:00,"Jamui,Bihar India",Android
LeoA07,2020-07-11 09:25:14+00:00,"Sale, Manchester UK",Mobile device
ROBRAIPUR,2020-07-11 09:25:14+00:00,,Android
aloa5,2020-07-11 09:25:14+00:00,,Mobile device
ZIKeagle,2020-07-11 09:25:15+00:00,Islamabad,Android
sshivammm,2020-07-11 09:25:16+00:00,"Jaipur, India",Android
Tshwane_Distr_H,2020-07-11 09:25:16+00:00,"Pretoria, South Africa",Mobile device
carty1827,2020-07-11 09:25:16+00:00,"Manchester, England",iPhone
BetheMckenzie,2020-07-11 09:25:16+00:00,,Mobile device
NitinGu40497869,2020-07-11 09:25:17+00:00,"Jaipur, India",Mobile device
VALLEYCHILD_2K,2020-07-11 09:25:17+00:00,Jammu And Kashmir,Android
ShivamSinghTiw2,2020-07-11 09:25:17+00:00,,Mobile device
Arunabh48022938,2020-07-11 09:25:18+00:00,,Android
mahendrasindha8,2020-07-11 09:25:18+00:00,,Android
Chin2akakshitij,2020-07-11 09:25:18+00:00,"Mumbai, India",Android
alba6363,2020-07-11 09:25:18+00:00,"Aberdeen, Scotland",Mobile device
BainSahadeb,2020-07-11 09:25:18+00:00,,Android
Markwookie,2020-07-11 09:25:19+00:00,,Mobile device
Surya_BornToWin,2020-07-11 09:25:19+00:00,"Chennai, India",Android
kishore90563278,2020-07-11 09:25:22+00:00,,iPhone
PragyaS85331327,2020-07-11 09:25:22+00:00,,Android
ActivistBowen2,2020-07-11 09:25:22+00:00,Hong Kong,Mobile device
SuseHarvey,2020-07-11 09:25:22+00:00,Waveney,iPhone
davesh153,2020-07-11 09:25:22+00:00,,Android
khrabati,2020-07-11 09:25:23+00:00,,Android
Sachinckavde,2020-07-11 09:25:23+00:00,"Navi Mumbai, India",Android
pmgs80,2020-07-11 09:25:25+00:00,"Brisbane, Queensland",Android
necdet4059,2020-07-11 09:25:25+00:00,Turkey,iPhone
NitinGu40497869,2020-07-11 09:25:25+00:00,"Jaipur, India",Mobile device
PradeepSawant16,2020-07-11 09:25:25+00:00,,Android
nassi_com,2020-07-11 09:25:27+00:00,,Android
AliRaja_MD,2020-07-11 09:25:27+00:00,"Boston, MA",iPad
JamesMo56122805,2020-07-11 09:25:27+00:00,,Android
CoronaCountBot,2020-07-11 09:25:28+00:00,,-
1703_susie,2020-07-11 09:25:28+00:00,United Kingdom ,Android
YouCanFoolMost,2020-07-11 09:25:28+00:00,"Boise, ID",-
JSheikh27,2020-07-11 09:25:28+00:00,"سندھ, پاکستان🇵🇰",Android
Fairdos1,2020-07-11 09:25:29+00:00,,Mobile device
TechKatha,2020-07-11 09:25:31+00:00,"Colombo, Sri Lanka",Android
MarkSharon_DP,2020-07-11 09:25:31+00:00,,Android
HameedahWaheeb,2020-07-11 09:25:32+00:00,"London, England",iPhone
Apsg10268435,2020-07-11 09:25:32+00:00,,Android
Nilaya_Resort,2020-07-11 09:25:32+00:00,India,Mobile device
beluvedeyewears,2020-07-11 09:25:32+00:00,"Lagos, Nigeria",Android
Dineshmahajans2,2020-07-11 09:25:34+00:00,"उत्तर प्रदेश, भारत@siddharthN.",Android
ROBRAIPUR,2020-07-11 09:25:34+00:00,,Android
NoCake4Brexit,2020-07-11 09:25:34+00:00,"Köln, Germany",iPhone
ks4700,2020-07-11 09:25:34+00:00,"Maharashtra, India",Android
Fardeen81716842,2020-07-11 09:25:35+00:00,,Bot
JesusNarrowWay,2020-07-11 09:25:35+00:00,,iPhone
FrancesWilming1,2020-07-11 09:25:36+00:00,,Mobile device
Sgazmandoogle,2020-07-11 09:25:36+00:00,The Moon,iPhone
ReginaKeith1,2020-07-11 09:25:37+00:00,UK,iPhone
pardeep1331,2020-07-11 09:25:37+00:00,"bareta,mansa",Mobile device
KayeMenner,2020-07-11 09:25:38+00:00,"Sydney, Australia",Mobile device
Travelink7,2020-07-11 09:25:38+00:00,"Kolkata, India",Instagram
mdoherty_hiv,2020-07-11 09:25:38+00:00,"Geneva, Switzerland",iPhone
not_wilf,2020-07-11 09:25:39+00:00,"England, United Kingdom",iPhone
antigonea,2020-07-11 09:25:39+00:00,"Tucson, AZ",Android
realAdrianBond,2020-07-11 09:25:39+00:00,"Hollywood, California USA",Mobile device
sjj139,2020-07-11 09:25:40+00:00,"North East, England",Android
PushpenderPand8,2020-07-11 09:25:40+00:00,,Android
tsalazargr,2020-07-11 09:25:40+00:00,"Comunidad de Madrid, España",Android
ANILVER69777941,2020-07-11 09:25:41+00:00,sitapur up,Mobile device
QHuda7,2020-07-11 09:25:41+00:00,"Geneva, Switzerland",iPhone
VALLEYCHILD_2K,2020-07-11 09:25:42+00:00,Jammu And Kashmir,Android
ReadForeverYou,2020-07-11 09:25:43+00:00,UK,iPhone
gassin123Charts,2020-07-11 09:25:44+00:00,"Sydney, New South Wales",Mobile device
weehousie,2020-07-11 09:25:45+00:00,,iPhone
MeikeHensmann,2020-07-11 09:25:45+00:00,,Android
nwchangeday,2020-07-11 09:25:45+00:00,North West,Android
andymurray7961,2020-07-11 09:25:45+00:00,"Airdrie, Scotland",Android
takingaction4us,2020-07-11 09:25:45+00:00,,iPad
GillianLeeLewis,2020-07-11 09:25:46+00:00,United Kingdom,iPhone
NaattuVarthakal,2020-07-11 09:25:47+00:00,കേരളം,-
ZafarAK12,2020-07-11 09:25:48+00:00,"اسلام آباد, پاکستان",Android
Kalikanzari,2020-07-11 09:25:48+00:00,"Tbilisi, Georgia",Mobile device
IWillMakeUStuff,2020-07-11 09:25:49+00:00,"Wivenhoe, England",Mobile device
ShandorSociety,2020-07-11 09:25:50+00:00,Germany,Android
LokeshKhare11,2020-07-11 09:25:50+00:00,India,Android
AuthorArtME,2020-07-11 09:25:50+00:00,Barbados,Android
kchandriaford,2020-07-11 09:25:50+00:00,ph | seoul,Android
csssoft,2020-07-11 09:25:50+00:00,"North Carolina, USA",-
Shanndawg1,2020-07-11 09:25:51+00:00,,Android
therealMr_Ellis,2020-07-11 09:25:51+00:00,,iPhone
BooCatPeeps,2020-07-11 09:25:51+00:00,,Android
UtsavPurohit4,2020-07-11 09:25:52+00:00,,Android
StephenVanlare,2020-07-11 09:25:52+00:00,Madina,Android
Markitos786,2020-07-11 09:25:52+00:00,"Miami, FL",iPhone
Chawla_Smera,2020-07-11 09:25:52+00:00,New Delhi,Mobile device
RudolfSchwenk,2020-07-11 09:25:53+00:00,Malawi,iPhone
mickey2160,2020-07-11 09:25:53+00:00,,iPad
